case_id,created_date,category,priority,transcript,resolution_status
CASE00284,2025-02-11,家電,低,【2025-02-11 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00289,2025-02-11,スポーツ,低,【2025-02-11 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00133,2025-02-14,家電,低,【2025-02-14 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00149,2025-02-15,衣料品,高,【2025-02-15 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00032,2025-02-16,家電,低,【2025-02-16 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00180,2025-02-17,スポーツ,低,【2025-02-17 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00010,2025-02-18,家電,中,【2025-02-18 受付】スマートウォッチのGPS機能が正確に動作しません。ランニング中に計測した距離が実際より短く表示されます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00219,2025-02-20,家電,高,【2025-02-20 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00213,2025-02-21,家電,低,【2025-02-21 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00247,2025-02-24,衣料品,高,【2025-02-24 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00279,2025-03-01,家電,中,【2025-03-01 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00123,2025-03-02,家電,中,【2025-03-02 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00203,2025-03-04,食品,高,【2025-03-04 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00224,2025-03-05,家電,低,【2025-03-05 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00085,2025-03-15,美容・健康,高,【2025-03-15 受付】スキンケア商品を使用後に肌が赤くなってしまいました。敏感肌用とのことでしたが、刺激が強いようです。返品できますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00005,2025-03-18,スポーツ,低,【2025-03-18 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00298,2025-03-18,スポーツ,中,【2025-03-18 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00211,2025-03-20,食品,低,【2025-03-20 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00181,2025-03-22,食品,高,【2025-03-22 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00078,2025-03-23,食品,低,【2025-03-23 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00216,2025-03-27,スポーツ,中,【2025-03-27 受付】アウトドアグッズの防水性能について確認したいです。小雨程度は問題ないとのことでしたが、先日の使用で濡れてしまいました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00221,2025-03-30,家電,高,【2025-03-30 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00059,2025-03-31,食品,高,【2025-03-31 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00158,2025-04-04,衣料品,高,【2025-04-04 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00172,2025-04-07,スポーツ,低,【2025-04-07 受付】アウトドアグッズの防水性能について確認したいです。小雨程度は問題ないとのことでしたが、先日の使用で濡れてしまいました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00189,2025-04-07,食品,中,【2025-04-07 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00184,2025-04-10,美容・健康,低,【2025-04-10 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00152,2025-04-11,食品,低,【2025-04-11 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00296,2025-04-16,家電,中,【2025-04-16 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00015,2025-04-18,スポーツ,中,【2025-04-18 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00145,2025-04-18,衣料品,高,【2025-04-18 受付】洗濯後に縮んでしまいました。洗濯表示通りに洗ったつもりですが、1サイズ小さくなった感覚があります。返品対応は可能ですか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00025,2025-04-23,衣料品,低,【2025-04-23 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00069,2025-04-24,スポーツ,高,【2025-04-24 受付】アウトドアグッズの防水性能について確認したいです。小雨程度は問題ないとのことでしたが、先日の使用で濡れてしまいました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00116,2025-04-24,スポーツ,高,【2025-04-24 受付】アウトドアグッズの防水性能について確認したいです。小雨程度は問題ないとのことでしたが、先日の使用で濡れてしまいました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00082,2025-04-27,衣料品,中,【2025-04-27 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00186,2025-04-28,衣料品,高,【2025-04-28 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00215,2025-05-02,家電,中,【2025-05-02 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00159,2025-05-06,衣料品,中,【2025-05-06 受付】洗濯後に縮んでしまいました。洗濯表示通りに洗ったつもりですが、1サイズ小さくなった感覚があります。返品対応は可能ですか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00115,2025-05-08,スポーツ,中,【2025-05-08 受付】アウトドアグッズの防水性能について確認したいです。小雨程度は問題ないとのことでしたが、先日の使用で濡れてしまいました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00122,2025-05-09,家電,低,【2025-05-09 受付】スマートウォッチのGPS機能が正確に動作しません。ランニング中に計測した距離が実際より短く表示されます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00196,2025-05-10,家電,低,【2025-05-10 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00200,2025-05-10,美容・健康,中,【2025-05-10 受付】スキンケア商品を使用後に肌が赤くなってしまいました。敏感肌用とのことでしたが、刺激が強いようです。返品できますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00170,2025-05-12,家電,高,【2025-05-12 受付】スマートウォッチのGPS機能が正確に動作しません。ランニング中に計測した距離が実際より短く表示されます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00293,2025-05-12,家電,低,【2025-05-12 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00270,2025-05-14,衣料品,低,【2025-05-14 受付】洗濯後に縮んでしまいました。洗濯表示通りに洗ったつもりですが、1サイズ小さくなった感覚があります。返品対応は可能ですか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00053,2025-05-15,スポーツ,低,【2025-05-15 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00090,2025-05-15,衣料品,低,【2025-05-15 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00274,2025-05-15,食品,中,【2025-05-15 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00006,2025-05-19,家電,中,【2025-05-19 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00040,2025-05-19,美容・健康,中,【2025-05-19 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00070,2025-05-19,美容・健康,低,【2025-05-19 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00220,2025-05-23,スポーツ,高,【2025-05-23 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00020,2025-05-27,食品,中,【2025-05-27 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00031,2025-05-28,家電,中,【2025-05-28 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00084,2025-06-02,食品,中,【2025-06-02 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00204,2025-06-08,美容・健康,高,【2025-06-08 受付】スキンケア商品を使用後に肌が赤くなってしまいました。敏感肌用とのことでしたが、刺激が強いようです。返品できますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00106,2025-06-09,衣料品,低,【2025-06-09 受付】洗濯後に縮んでしまいました。洗濯表示通りに洗ったつもりですが、1サイズ小さくなった感覚があります。返品対応は可能ですか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00260,2025-06-15,スポーツ,低,【2025-06-15 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00098,2025-06-17,家電,低,【2025-06-17 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00125,2025-06-20,食品,中,【2025-06-20 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00259,2025-06-21,衣料品,高,【2025-06-21 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00250,2025-06-26,美容・健康,低,【2025-06-26 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00276,2025-06-26,スポーツ,高,【2025-06-26 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00027,2025-07-03,食品,中,【2025-07-03 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00104,2025-07-06,家電,低,【2025-07-06 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00191,2025-07-09,衣料品,高,【2025-07-09 受付】洗濯後に縮んでしまいました。洗濯表示通りに洗ったつもりですが、1サイズ小さくなった感覚があります。返品対応は可能ですか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00119,2025-07-10,衣料品,中,【2025-07-10 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00164,2025-07-10,衣料品,高,【2025-07-10 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00058,2025-07-16,衣料品,中,【2025-07-16 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00028,2025-07-19,家電,低,【2025-07-19 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00103,2025-07-19,食品,低,【2025-07-19 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00177,2025-07-22,美容・健康,高,【2025-07-22 受付】スキンケア商品を使用後に肌が赤くなってしまいました。敏感肌用とのことでしたが、刺激が強いようです。返品できますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00042,2025-07-23,食品,中,【2025-07-23 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00249,2025-07-24,食品,低,【2025-07-24 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00267,2025-07-24,スポーツ,中,【2025-07-24 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00256,2025-07-27,食品,高,【2025-07-27 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
